id,content,lang
0,  Where are the foreigners We were told maRussia and foreigners are the ones doing this mass shootings,en
1,We invite all those who have lost loved ones to illegal drugs or drug related crimes to make formal charges against  for his role in deliberately encouraging the illegal foreigners to get creative meaning they must break the law,en
2,"After battling with HIVAIDS for years South Africans are now at mercy of a new virus fullblown Amakwerekwere Immune Difeciency Syndrome

PutSouthAficansFirst 
OperationDudula ",en
3, Nani impela seniyamthemba UCele nama phoyisa Labantu bathenga ama IDs Bakhuluma isiZulu To mentioned that are South Africans doesnt foreigners are doing crime Thats why they illegally crossed borders,zu
4,   Give Nhlanhla his flowers for release himself from the grap of unrehabilitated ex convicts who have identified a gap in politics to futher their criminal tendency,en
5, Tell your mad leader  to remove the illegal foreigners doing illegal stuff in hillbrow etc to relocate our own people who need to have homes voetsek EFF   ,en
6,"   You all are in denial foreigners dont come here to kill you they come to work and utilise opportunities 

Kodwa qubekani",en
7,   great that you think like that but some of you jump into finding everybody foreign guilty They dont wait for due process,en
8,Thats trueforeigners must leave our country    ,en
9,"The life of a Zimbabwean

OperationDudula 
PutSouthAficansFirst 
VoetsekEFF ",en
10, open your eyes  has spoken      ,en
11," never lose strength brother we are with you in this fight 
PutSouthAficansFirst",en
12,Our kids are already servants in the towns since all  houses formerly owned by Whites in towns are legally owned by foreigners They didnt only removed Whites out of their houses but they processed Deed Office and Home Affairs documents for themselves ,en
13,OperationDudula I might not agree with everything Nhlanhlalux stands for but I have to admit I find it very hard not to listen to him hes clear in his beliefs but his defense of local economy laced with xenophobic sentiments I strongly disagree with him on that one,en
14, All that i can say is Spazas in our Communities are just destroying our Economy Undocumented Foreighners are just Destroying all we need as Soweto Communities is Unity Fairness so as to work together in Fixing the Country Foreighners know our weaknesses and they use that,en
15,   Locals that rent out their garages and rooms for somali spaza shops are pushing you out Foreigners dont force their spaza shops down our throats somebody rent their garage to them and someone supports them by buying from them So think again before you blame them,en
16,   He cant say were lazy uyanya lomfana,zu
17,Farmers must stop employing foreigners HOOR OOM JAN  ,en
18,Whilst OperationDudula thugs are eating each other shocked at relevations within their leaders thina we are celebrating BlackExcellence and our esteemed DSG Join us in wishing our finest a Revolutionary endless Happiness and happy birthday ,en
19,   Guys give Nhlanhla his flowers for having a damascus and for seeing whats surrounding him Bo Ike Khumalo are the real dangers to the real untiy of our people    unrehabilitated ex convict who saw a gap in politics,en
20, no matter how uncomfortable it is amp avoid comforting lies that is how we can change our beloved Zimbabwe On the other end the high incidence of violent crimes is unacceptable Many groups in SA point out the huge number of undocumented immigrants as a major factor I dont,en
21, It breaks my heart heyi mean they can hate on foreigners but not like this hey,en
22,   But  is correct the issue here should undocumented foreigners Lets not generalise Weve so many south Africans who are in other countries as well must accommodate anybody who has entered out country legally,en
23,"Theres a TikTok video of an old lady mama who was talking about giving the foreigners land I think shes Xhosa I dont remember Ive been looking for that video I think they took it down
She was talking about such shootings that they are coming she said",en
24,    The reason for missing women is not rape Its human trafficking Unfortunately it is a trade common among foreigners,en
25,OperationDudula is backfiring literally These mass shootings are orchestrated and executed no pun by natives from across borders ,en
26, Operation Dudula is an organization of gangsters,en
27,     No he is not clueless he doesnt give a fuk,en
28,"     Ask the question 
When the law is wrong and enforced those in the know should stand by or challenge it Zimbabwe treats its citizens like cattle",en
29,    Because of the Zimbabwean tribal mindset,en
30,  Wenzani,zu
31,It not South Africans its these illegal immigrants fools with our fake or stolen documents probably Zimbabweans ,en
32, Why only Africans because theyre many whites undocumented in this country Mara o setlaela,en
33,It took few Mass Shootings to make Nhlanhla Lux realise that Crime is Crime it doesnt go with Nationality,en
34,    Its not Amashagane its Matsonga,en
35, We will still carry on without him Let us push compatriots PutSouthAficansFirst OperationDudula,en
36, Theyre not gon do that Illegal immigrants who get ID documents vote for ,en
37,South Africans always come to the party later when they receive the same treatment from other countriesOperationDudula ,en
38, No one is above OperationDudula and we are not a cult,en
39,Brixton Launch OperationDudula PutSouthAfricansFirst    ,en
40,Brixton Launch OperationDudula PutSouthAfricansFirst   ,en
41,    Njani manje Nhlanhla ,zu
42, But foreigners are our employers and they boss us around Get my point,en
43,"Most people miss Opportunity because it is dressed in overalls and looks like work

Hard at work  

GomoraMzansi lalela Arthur zwane Bafan bafana OperationDudula  miss Sa Eskom  Shona Soshanguve Unmarried Berita Kaizer chiefs Nota ",en
44,Unmarried ManUnited Cyan OperationDudula Soshanguvhe ,en
45,Shona ManUnited Miss SA OperationDudula Cyan ,pam
46," The initial tweet has a problem with a foreigner giving instructions in SA

My response is he doesnt have a problem when white peoplebeing foreigners giving instructions",en
47,   Exactly foreigners have no choice but to tolerate their bullshit and when foreigners are tired they kill them and they cry farm murderers,en
48," Ive been restoring Renewing car Headlights since   years 
 More than  clients went on Google and gave me 
This morning Im praying  for  retweets

operationdudula Arthur Zwane Berita Blaq Diamond Eskom  Nota SABC Zimbos Venda PodcastAndChill ",en
49, Yep indeed we do may I please put the cherry on top of this cake  Almost half are illegal foreigners too In one way or another  invites them and we pay for it in theory he is taking on the whole population of SA citizens,en
50,Strange uber and pvt security both demanding increase BOTH ARE PREDOMINANTLY ILLEGAL FOREIGNERS EMPLOYED  hey asshole we used to chaos its not working you and your zimbos voetsek u in big kak in min    ,en
51,You Anti Africans will not deceive us anymore you commit crimes kill people and run to social media to make ridiculous s saying its foreigners who are shooting people in Tarvens and Townships You all getting paid to protect the real criminals OperationDudula murderers ,en
52,  Hence we need to fix that get our house in order Foreigners took our generosity for granted and its now time clean house,en
53,"But S Africans will get their Jobs back 
That  foreigners school teachers occupied jobs that supposed to being given  to millions of unemployed S AFRICAN teachers

No country allow this kind of rubbish 

They add  of our problems in this country he is more than right ",en
54,"These mass shootings are tribal wars just like in the sLets not try to search farConnect the dots
We say its foreigners mara ayi this is a tribal thing",en
55,  your father is heartless my brother  take your government to court for human rights violation  hey fraudster look at your government PutSouthAfricaFirst OperationDudula Zimbabweans,en
56,  Salothane badu bekhethu Let government start by dealing with illegal Foreigners because its alleged that they are the one bringing unlicensed fire arm in South Africa Legasa Butler Mollo Zebediela Makgophong sabcnews Fullview,en
57,  Vele we are going to close our borders so that South African criminals can rot in jail and not be released early because prisons are  overcrowded Foreigners are adding  our crime,en
58,"More hands guysThose non perishable food clothing and soup for the drive Oh and Kids Toys 
 OperationDudula EFFPresser RamaphosaMustGo NationalShutdown  Soweto ",en
59,"Bathande Bonke visuals now on YouTubePlease kindly check it out


cyan mihlali CyrilMustGo CyrilMustResign BlaqDiamond KellyKhumalo Alexandra OperationDudula LuthuliHouse ",en
60, And foreigners were not here when we were chased by this car now they are busy taking our government to court for being in SA illegally mxm,en
61,He is in South Africa  the worlds capital city of Crime amp illegal foreigners amp fugitives amp terrorist groups amp drug dealers amp murderers amp rapists amp bank robbers amp human traffickers LOOK NO FURTHER ALL THE CRIMINALS RUN TO SOUTH AFRICA NELSON MANDELAS LAND OF MILK AND HONEY ,en
62,OperationDudula ,en
63,   Xhosa boys,en
64,"  Its soft because they are beating Xhosa boys
Foreigners would be dead by the end of that clip",en
65,  Maybe you dont know what you talking about illegal foreigners from Somalia and Kenya are being smuggled at that border,en
66,Make your life simple Simplify your deliveries with us NationalShutdown OperationDudula PodcastAndChill podcastandchillwithmacg mihlali PhalaPhalaFarmGate PhalaPhalaFarm ,en
67,"PutSouthAfricaFirst means 

 Stopping corruption and lawlessness
 Stopping illegal immigrants 

No country can survive these two plagues",en
68,These are the creative ways of  by illegal foreigners to enter South Africa ,en
69,Bafwethu we cant fight foreigners I just saw disturbing videos and it is sad,en
70,   Getting emotional wont help problem is yall want to address SAns problems on Twitter while the reality is Foreigners are willing to take this while wena o bolaya ke tlala ka pride nyana ya masepa jou bloody swine,en
71,Thank you Ntate Aaron Motsoaledi of homeAffairs indeed we are ready for the  of December  PutSouthAfricaFirst OperationDudula homeAffairs beitbrige Mass deportation of illegal aliens must commence as soon the st of January     ,en
72,    Well they are not,en
73,    Nope,en
74,     They are definitely not Xhosa though,en
75,   u talking kaak the problem is yall not willing to address this bullshit salary busy telling people they should accept it cos foreigners will,en
76, Oksalayo your grandparents are foreigners n that will never change,en
77,As you hate S Africans bcs they kill your family members dont blame those who hate foreigners for robbing and killing S Africans just keep quiet bcs those who Lost their family member in the hands of Foreigners will never please you by keeping quiet ,en
78,"Lower Taxation in South Africa Minister Enoch Godongwana  and SARS   Sign the Petition

SouthAfricanMorning OperationDudula
orlandoshooting

 via ",en
79,I really like this illegal foreigners narrative in this Country It has definitely exposed the media to what it is ,en
80, Nhlanha lux blame foreigner for everything even the high petrol is caused by foreigners,en
