id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,  Where are the foreigners? We were told maRussia and foreigners are the ones doing this mass shootings💬,1,0,0,0,0,0
1,We invite all those who have lost loved ones to illegal drugs or drug related crimes to make formal charges against  for his role in deliberately encouraging the illegal foreigners to get creative meaning they must break the law,1,0,0,0,0,0
2,"After battling with HIV/AIDS for years, South Africans are now at mercy of a new virus, full-blown Amakwerekwere Immune Difeciency Syndrome.

PutSouthAficansFirst 
OperationDudula ",1,0,0,0,0,0
3, Nani impela seniyamthemba UCele nama phoyisa. Labantu bathenga ama ID's. Bakhuluma isiZulu. To mentioned that are South Africans doesn't foreigners are doing crime. That's why they illegally crossed borders,1,0,0,0,0,0
4,   Give Nhlanhla his flowers for release himself from the grap of unrehabilitated ex convicts who have identified a gap in politics to futher their criminal tendency,1,0,0,0,0,0
5, Tell your mad leader  to remove the illegal foreigners doing illegal stuff in hillbrow etc to relocate our own people who need to have homes voetsek EFF   ,1,0,0,0,0,0
6,"   You all are in denial, foreigners don't come here to kill you, they come to work and utilise opportunities. 

Kodwa qubekani🤣🤣🤣🤣",0,0,0,0,0,0
7,   ...great that you think like that but some of you jump into finding everybody foreign guilty. They don't wait for due process,0,0,0,0,0,0
8,That's true....foreigners must leave our country 𝕨𝕖 𝕒𝕣𝕖 𝕥𝕚𝕣𝕖𝕕 ,1,0,0,0,0,0
9,"The life of a Zimbabwean🇿🇼

OperationDudula 
PutSouthAficansFirst 
VoetsekEFF ",0,0,0,0,0,0
10," open your eyes,  has spoken.      ",1,0,0,0,0,0
11," never lose strength brother, we are with you in this fight! ✊🏽
PutSouthAficansFirst",1,0,0,0,0,0
12,"Our kids are already servants in the towns since all  houses formerly owned by Whites in towns are legally owned by foreigners. They didn't only removed Whites out of their houses, but they processed Deed Office and Home Affairs documents for themselves. ",1,0,0,0,0,0
13,"OperationDudula I might not agree with everything Nhlanhlalux stands for but I have to admit, I find it very hard not to listen to him, he's clear in his beliefs, but his defense of local economy laced with xenophobic sentiments, I strongly disagree with him on that one.",1,0,0,0,0,0
14," All that i can say is, Spazas in our Communities are just destroying our Economy, Undocumented Foreighners are just Destroying, all we need as Soweto Communities is Unity, Fairness, so as to work together in Fixing the Country, Foreighners know our weaknesses and they use that.",1,0,0,0,0,0
15,"   Locals that rent out their garages and rooms for somali spaza shops are pushing you out. Foreigners don't force their spaza shops down our throats, somebody rent their garage to them and someone supports them by buying from them. So think again before you blame them",0,0,0,0,0,0
16,   He can't say we're lazy uyanya lomfana,1,0,0,0,0,0
17,"Farmers must stop employing foreigners, HOOR OOM JAN !!! ",1,0,0,0,0,0
18,"Whilst OperationDudula thugs are eating each other, shocked at relevations within, their leaders, thina we are celebrating BlackExcellence and our esteemed DSG... Join us in wishing our finest, a Revolutionary endless Happiness and happy birthday ",0,0,0,0,0,0
19,"   Guys, give Nhlanhla his flowers for having a damascus and for seeing whats surrounding him.... Bo Ike Khumalo are the real dangers to the real untiy of our people.  , , unrehabilitated ex convict who saw a gap in politics",1,0,0,0,0,0
20,"8. no matter how uncomfortable it is &amp; avoid comforting lies, that is how we can change our beloved Zimbabwe. On the other end the high incidence of violent crimes is unacceptable. Many groups in SA point out the huge number of undocumented immigrants as a major factor, I don’t",0,0,0,0,0,0
21, It breaks my heart hey💔...i mean they can hate on foreigners but not like this hey.😭,0,0,0,0,0,0
22,   But  is correct .the issue here should undocumented foreigners. Let's not generalise. We've so many south Africans who are in other countries as well .must accommodate anybody who has entered out country legally.,1,0,0,0,0,0
